record_id,title,authors,language,publication_year,publisher,isbn_or_issn,segment,subsegment,perspective,topics,access_type,dataset_status
eqs-0017,Capital Structuring (Financial Risk Management Series: Corporate Finance),Brian Coyle,en,2000,McGraw Hill,9781526849922,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0018,Entrepreneurial finance,Richard L. Smith; Janet Kiholm Smith,en,2003,John Wiley & Sons,9781118691649,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0019,"Corporate capital structures and financing plans, 1981-1984",Patrick J. Davey,en,1981,Unknown,,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0020,GE Capital Equipment Finance Structured Sales Process UK,John Pennington,en,2014,Unknown,150283300X,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-ja-0001,実践スタートアップ・ファイナンス　資本政策の感想戦,山岡佑,ja,2021,日経BP,,Securities & Investment Banking,Equity Strategy,practice,資本政策 スタートアップ,unknown,draft
eqs-ja-0002,スタートアップ・ベンチャー企業の経営者がIPOを考え始めたときに知っておくべき予備知識,井上司; 太田裕士,ja,2024,ロギカ書房,,Securities & Investment Banking,Equity Strategy,practice,資本政策 スタートアップ,unknown,draft
eqs-ja-0003,ベンチャー・スタートアップ資金調達の教科書　エクイティファイナンスを成功に導くための知識武装,黒田達郎,ja,2025,日本能率協会マネジメントセンター,,Securities & Investment Banking,Equity Strategy,practice,資本政策 スタートアップ,unknown,draft
eqs-ja-0004,IPOファイナンスの視点　～基礎から応用まで制度と実務を解説～,山岸洋一,ja,2024,日販アイ・ピー・エス株式会社,,Securities & Investment Banking,Equity Strategy,practice,資本政策 スタートアップ,unknown,draft
eqs-ja-0005,実践スタートアップ・ファイナンス資本政策の感想戦,山岡佑,ja,2021,日経BP,4296000330,Securities & Investment Banking,Equity Strategy,practice,資本政策 スタートアップ,unknown,draft
eqs-ja-0006,図解入門ビジネス最新株式公開の基本と実務がよーくわかる本,アデッセ; 藤田康範研究室,ja,2006,秀和システム,4798015520,Securities & Investment Banking,Equity Strategy,practice,資本政策 実務,unknown,draft
eqs-ja-0007,資本政策実務ガイド,ベンチャーエンタープライズセンター,ja,2003,Unknown,,Securities & Investment Banking,Equity Strategy,practice,資本政策 実務,unknown,draft
eqs-ja-0008,資本政策の考え方と実務の手順,新日本監査法人事業開発部,ja,2008,KADOKAWA,,Securities & Investment Banking,Equity Strategy,practice,資本政策 実務,unknown,draft
eqs-ja-0009,徹底討論株式持ち合い解消の理論と実務,神田秀樹; 資本市場研究会,ja,2001,Unknown,,Securities & Investment Banking,Equity Strategy,practice,資本政策 実務,unknown,draft
eqs-ja-0010,これならわかる資本政策の実務ポイント,みすず監査法人株式公開部,ja,2006,Unknown,4793114989,Securities & Investment Banking,Equity Strategy,practice,資本政策 実務,unknown,draft
eqs-ja-0011,エクイティ・ファイナンスの理論と実務〔第3版〕,森・濱田松本法律事務所キャピタル・マーケッツ・プラクティスグループ,ja,2022,Unknown,4785729244,Securities & Investment Banking,Equity Strategy,practice,エクイティファイナンス 実務,unknown,draft
eqs-ja-0012,エクイティ・ファイナンスの理論と実務,鈴木克昌; 峯岸健太郎; 久保田修平,ja,2011,Unknown,4785719354,Securities & Investment Banking,Equity Strategy,practice,エクイティファイナンス 実務,unknown,draft
eqs-ja-0013,エクイティ・ファイナンスの実務,朝日新和会計社,ja,1992,Unknown,4502317748,Securities & Investment Banking,Equity Strategy,practice,エクイティファイナンス 実務,unknown,draft
eqs-ja-0014,IPO実務検定試験公式テキスト,日本IPO実務検定協会,ja,2008,Unknown,4502420603,Securities & Investment Banking,Equity Strategy,practice,IPO 実務,unknown,draft
eqs-ja-0015,IPO実践ケーススタディ〈第2版〉,日本IPO実務検定協会; EY新日本有限責任監査法人; フォーサイト総合法律事務所,ja,2024,Unknown,4502519812,Securities & Investment Banking,Equity Strategy,practice,IPO 実務,unknown,draft
eqs-ja-0016,IPO実践ケーススタディ,日本IPO実務検定協会; EY新日本有限責任監査法人; フォーサイト総合法律事務所,ja,2022,Unknown,4502387819,Securities & Investment Banking,Equity Strategy,practice,IPO 実務,unknown,draft
eqs-ja-0017,IPO実務検定試験公式問題集,トーマツIPO戦略統括室,ja,2021,Unknown,4813287174,Securities & Investment Banking,Equity Strategy,practice,IPO 実務,unknown,draft
eqs-ja-0018,要点整理上場準備実務,トーマツ,ja,2013,Unknown,4496050226,Securities & Investment Banking,Equity Strategy,practice,IPO 実務,unknown,draft
eqs-ja-0019,IPO実務検定試験(R) 公式問題集第6版,有限責任監査法人トーマツ著,ja,2024,Unknown,4300115117,Securities & Investment Banking,Equity Strategy,practice,IPO 実務,unknown,draft
eqs-ja-0020,IPO実務用語辞典,新日本有限責任監査法人; 三菱UFJモルガンスタンレー証券,ja,2014,Unknown,4495200119,Securities & Investment Banking,Equity Strategy,practice,IPO 実務,unknown,draft
val-0001,Discounted Cash Flow Valuation,Guy Dore,en,2010,Unknown,,Securities & Investment Banking,Valuation,practice,discounted cash flow valuation,unknown,draft
val-0002,Discounted cash flow,Lutz Kruschwitz,en,2005,Unknown,,Securities & Investment Banking,Valuation,practice,discounted cash flow valuation,unknown,draft
val-0003,Stochastic Discounted Cash Flow,Lutz Kruschwitz; Andreas Löffler,en,2020,Unknown,,Securities & Investment Banking,Valuation,practice,discounted cash flow valuation,unknown,draft
val-0004,Valuation techniques,David T. Larrabee,en,2012,Unknown,,Securities & Investment Banking,Valuation,practice,discounted cash flow valuation,unknown,draft
val-0005,Company Valuation. the Discounted Cash Flow Method Versus the Multiple Method,Jan Gravendieck,en,2019,Unknown,,Securities & Investment Banking,Valuation,practice,discounted cash flow valuation,unknown,draft
val-0006,Der discounted Cash Flow als Mass der Unternehmenswertsteigerung,Dirk Hachmeister,en,1995,Unknown,,Securities & Investment Banking,Valuation,practice,discounted cash flow valuation,unknown,draft
val-0007,Discounted Cash Flow als Mass der Unternehmenswertsteigerung,Dirk Hachmeister,en,1999,Unknown,,Securities & Investment Banking,Valuation,practice,discounted cash flow valuation,unknown,draft
val-0008,Relevance of Discounted Cash Flow and Economic Value Added for the Valuation of Banks,Dennis Schön,en,2007,Unknown,,Securities & Investment Banking,Valuation,practice,discounted cash flow valuation,unknown,draft
val-0009,Property valuation and investment analysis,Jon Robinson,en,1989,Unknown,,Securities & Investment Banking,Valuation,practice,discounted cash flow valuation,unknown,draft
val-0010,Martin Faustmann and the evolution of discounted cash flow,Michael Gane,en,1968,Unknown,,Securities & Investment Banking,Valuation,practice,discounted cash flow valuation,unknown,draft
val-0011,Integrating imputed interest on the stock of equity provisions into business valuation,Manfred Frühwirth; Markus Schwaiger,en,2006,Unknown,,Securities & Investment Banking,Valuation,practice,discounted cash flow valuation,unknown,draft
val-0012,Discounted Cashflow und Jahresabschlussanalyse,Andreas Scholze,en,2009,Unknown,,Securities & Investment Banking,Valuation,practice,discounted cash flow valuation,unknown,draft
val-0013,Security valuation and risk analysis,Kenneth S. Hackel,en,2011,Unknown,,Securities & Investment Banking,Valuation,practice,discounted cash flow valuation,unknown,draft
val-0014,Towards a more accurate equity valuation,Stefan Henschke,en,2009,Unknown,,Securities & Investment Banking,Valuation,practice,discounted cash flow valuation,unknown,draft
val-0015,DCF-Bewertung von Versicherungsunternehmen,Hans-Jürgen Strasser,en,2009,Unknown,,Securities & Investment Banking,Valuation,practice,discounted cash flow valuation,unknown,draft
val-0016,Equity valuation.,,en,1992,Unknown,,Securities & Investment Banking,Valuation,practice,equity valuation,unknown,draft
val-0017,Equity Valuation,Peter O. Christensen; Gerald A. Feltham,en,2009,Unknown,,Securities & Investment Banking,Valuation,practice,equity valuation,unknown,draft
val-0018,Equity Valuation and Analysis,Russell Lundholm; Richard Sloan,en,2017,Unknown,,Securities & Investment Banking,Valuation,practice,equity valuation,unknown,draft
val-0019,Applied Equity Valuation,T. Daniel Coggin; Frank J. Fabozzi,en,2008,Unknown,,Securities & Investment Banking,Valuation,practice,equity valuation,unknown,draft
val-0020,Equity Valuation Using Multiples,Prof. Klaus Spremann; Andreas Schreiner,en,2009,Unknown,,Securities & Investment Banking,Valuation,practice,equity valuation,unknown,draft
ipo-en-0001,Initial Public Offerings Annual,Craig E. Aronoff,en,1991,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0002,Initial public offerings,Seth C. Anderson,en,1995,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0003,Initial Public Offering,Daniel Stopp; Lina Wimmer; Ann-Kathrin Legath,en,2018,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0004,Essays on gross spreads in initial public offerings,Sami Torstila,en,2000,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0005,Shinki jōjō jitsumu gaido = IPO initial public offering,,en,2009,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0006,Corporate governance and initial public offerings,Alessandro Zattoni; William Quan Judge,en,2012,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0007,Initial Public Offerings (IPOs),Arif Khurshed,en,2007,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0008,Shipping initial public offerings,Costas Th Grammenos,en,1995,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0009,Underpricing in initial public offerings,T. P. Madhusoodanan,en,1996,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0010,The informational content of initial public offerings,Ian Lindsay Gale,en,1990,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0011,Entrepreneurs and initial public offerings,Jocelyn Jean-Yves Desroches,en,1991,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0012,The initial public offering,Gail Clayton Husick,en,1998,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0013,Underpricing of initial public offerings,David K. Wall,en,1993,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0014,INITIAL PUBLIC OFFERING IN DEUTSCHLAND,René Reuter,en,2011,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0015,Bepreisung Von Initial Public Offerings,Niklas Petersen,en,2013,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0016,Initial Public Offerings in China,Hai Long,en,2022,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0017,株式公開 IPO(Initial Public Offering),Shun Kazama,en,2011,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0018,Underpricing Bei Initial Public Offering,Lars de Buhr; Lars De Buhr,en,2014,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0019,Laddering in initial public offerings,Qing (Grace Hao,en,2005,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-en-0020,Institutional allocation in initial public offerings,Reena Aggarwal,en,2002,Unknown,,Securities & Investment Banking,IPO/PO,practice,initial public offering,unknown,draft
ipo-ja-0001,IPOファイナンスの視点　～基礎から応用まで制度と実務を解説～,山岸洋一,ja,2024,日販アイ・ピー・エス株式会社,,Securities & Investment Banking,IPO/PO,practice,IPO 実務,unknown,draft
ipo-ja-0002,IPO実務検定試験公式テキスト,日本IPO実務検定協会,ja,2008,Unknown,4502420603,Securities & Investment Banking,IPO/PO,practice,IPO 実務,unknown,draft
ipo-ja-0003,スタートアップ・ベンチャー企業の経営者がIPOを考え始めたときに知っておくべき予備知識,井上司; 太田裕士,ja,2024,ロギカ書房,,Securities & Investment Banking,IPO/PO,practice,IPO 実務,unknown,draft
ipo-ja-0004,IPO実践ケーススタディ〈第2版〉,日本IPO実務検定協会; EY新日本有限責任監査法人; フォーサイト総合法律事務所,ja,2024,Unknown,4502519812,Securities & Investment Banking,IPO/PO,practice,IPO 実務,unknown,draft
ipo-ja-0005,IPO実践ケーススタディ,日本IPO実務検定協会; EY新日本有限責任監査法人; フォーサイト総合法律事務所,ja,2022,Unknown,4502387819,Securities & Investment Banking,IPO/PO,practice,IPO 実務,unknown,draft
ipo-ja-0006,IPO実務検定試験公式問題集,トーマツIPO戦略統括室,ja,2021,Unknown,4813287174,Securities & Investment Banking,IPO/PO,practice,IPO 実務,unknown,draft
ipo-ja-0007,要点整理上場準備実務,トーマツ,ja,2013,Unknown,4496050226,Securities & Investment Banking,IPO/PO,practice,IPO 実務,unknown,draft
ipo-ja-0008,IPO実務検定試験(R) 公式問題集第6版,有限責任監査法人トーマツ著,ja,2024,Unknown,4300115117,Securities & Investment Banking,IPO/PO,practice,IPO 実務,unknown,draft
ipo-ja-0009,IPO実務用語辞典,新日本有限責任監査法人; 三菱UFJモルガンスタンレー証券,ja,2014,Unknown,4495200119,Securities & Investment Banking,IPO/PO,practice,IPO 実務,unknown,draft
ipo-ja-0010,投資家目線のIPO実務,大野貴史; 森本良二,ja,2024,Unknown,4502491810,Securities & Investment Banking,IPO/PO,practice,IPO 実務,unknown,draft
ipo-ja-0011,図解入門ビジネス最新株式公開の基本と実務がよーくわかる本,アデッセ; 藤田康範研究室,ja,2006,秀和システム,4798015520,Securities & Investment Banking,IPO/PO,practice,株式公開 実務,unknown,draft
ipo-ja-0012,株式上場準備マニュアル,野海英,ja,2008,すばる舎,9784883997145,Securities & Investment Banking,IPO/PO,practice,上場準備,unknown,draft
ipo-ja-0013,すぐに役立つ株主総会と株式事務しくみと手続き,,ja,2011,三修社,9784384044027,Securities & Investment Banking,IPO/PO,practice,株式上場 手続,unknown,draft
ipo-ja-0014,株式公開ハンドブック,,ja,1984,Unknown,,Securities & Investment Banking,IPO/PO,practice,株式上場 手続,unknown,draft
ipo-ja-0015,アジアの証券市埸と株式公開,,ja,1992,Unknown,,Securities & Investment Banking,IPO/PO,practice,株式上場 手続,unknown,draft
ipo-ja-0016,図解株式公開のしくみ,大崎慎一; 増田孝夫,ja,2006,Unknown,,Securities & Investment Banking,IPO/PO,practice,株式上場 手続,unknown,draft
ipo-ja-0017,ベンチャー市場株式公開マニュアル,監査法人太田昭和センチュリー公開業務本部,ja,2001,Unknown,,Securities & Investment Banking,IPO/PO,practice,株式上場 手続,unknown,draft
ipo-ja-0018,Zero to IPO 世界で最も成功した起業家・投資家からの1兆ドルアドバイス 創業から上場までを駆け抜ける知恵と戦略,フレデリック・ケレスト,ja,2023,翔泳社,9784798178974,Securities & Investment Banking,IPO/PO,practice,IPO ケーススタディ,unknown,draft
ipo-ja-0019,ケーススタディ・上場準備実務,新日本有限責任監査法人,ja,2016,Unknown,441906336X,Securities & Investment Banking,IPO/PO,practice,IPO ケーススタディ,unknown,draft
ipo-ja-0020,新規公開株で大きく稼ぐ！　ＩＰＯ投資の基本と儲け方ズバリ！,西堀　敬,ja,2014,すばる舎,9784799103470,Securities & Investment Banking,IPO/PO,practice,公開買付 公募増資,unknown,draft
ccap-en-0001,Cost of capital,Shannon P. Pratt; Roger J. Grabowski,en,2003,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0002,The cost of capital,Eva R. Porras,en,2010,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0003,"Cost of Capital Set, Contains",Shannon P. Pratt,en,2002,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0004,"Cost of Capital, + Website",Shannon P. Pratt; Roger J. Grabowski; Richard A. Brealey,en,2014,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0005,Cost of Capital Workbook,Shannon P. Pratt,en,2002,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0006,High cost of capital,George Nickolas Hatsopoulos,en,1983,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0007,Utilities' cost of capital,Roger A. Morin,en,1984,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0008,Assessing the Cost of Capital,John Pointon,en,2002,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0009,Cost of Capital in Litigation,Shannon P. Pratt; Roger J. Grabowski,en,2010,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0010,Global Cost of Capital,Shannon P. Pratt,en,2018,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0011,The real cost of capital,Tim Ogier,en,2004,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0012,Environmental policy & the cost of capital,,en,1990,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0013,The social opportunity cost of capital,Stuart Townsend,en,1978,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0014,The cost of capital in regulated industries,Paul Grout,en,1992,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0015,Capital Structure and Cost of Capital,Dalit Kaur,en,2005,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0016,On the Cost of Capital,Bernardo Costales-González,en,2020,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0017,State user costs of capital,Charles Ian Mead,en,2001,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0018,"Cost of Capital
            
                Wiley Finance",Shannon P. Pratt,en,2014,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0019,"Cost of capital, Q model of investment, and capital accumulation",Chun-yŏng Kim,en,1998,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0020,Cost of Capital For Regulated Firms,Canadian Transport Commission. Reserch Branch.,en,1977,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0021,Cost of Capital Set,Shannon P. Pratt; Roger J. Grabowski,en,2010,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0022,Weighted Average Cost of Capital,Gerard Blokdyk,en,2017,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0023,Capital investment and the cost of capital,Thomas Allen Wilson,en,1967,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0024,Capital structure and the cost of capital,I. M. Pandey,en,1981,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-en-0025,The Cost of Capitalism,Robert Barbera,en,2009,Unknown,,Securities & Investment Banking,Cost of Capital,practice,cost of capital,unknown,draft
ccap-ja-0001,資本コストや株価を意識したコーポレートガバナンス,高辻成彦,ja,2025,日本能率協会マネジメントセンター,,Securities & Investment Banking,Cost of Capital,practice,資本コスト,unknown,draft
ccap-ja-0002,企業価値評価［実践編］,鈴木一功,ja,2004,ダイヤモンド社,,Securities & Investment Banking,Cost of Capital,practice,資本コスト,unknown,draft
ccap-ja-0003,サステナビリティとコーポレートファイナンス,砂川伸幸; 山口敦之,ja,2024,日経BP,,Securities & Investment Banking,Cost of Capital,practice,資本コスト,unknown,draft
ccap-ja-0004,資本の測定,野村浩二,ja,2004,Unknown,,Securities & Investment Banking,Cost of Capital,practice,資本コスト,unknown,draft
ccap-ja-0005,実践力を鍛える戦略ノート［企業価値評価編],原田　勉,ja,2007,東洋経済新報社,9784492532317,Securities & Investment Banking,Cost of Capital,practice,WACC,unknown,draft
ccap-ja-0006,図解入門ﾋﾞｼﾞﾈｽ最新企業価値評価の考え方と実践がよ〜くわかる本,笠原真人,ja,2015,秀和システム,9784798044729,Securities & Investment Banking,Cost of Capital,practice,WACC,unknown,draft
ccap-ja-0007,The Weighted Average Cost of Capital (WACC) Method For The 2007 Fiscal Year For Midland Energy Resources. Summary And Explanation,,ja,2020,GRIN Verlag,9783346229625,Securities & Investment Banking,Cost of Capital,practice,WACC,unknown,draft
ccap-ja-0008,Der Weighted Average Cost of Capital (WACC) als Investitions- und Bewertungsinstrument in der Corporate Finance,,ja,2020,GRIN Verlag,9783346110770,Securities & Investment Banking,Cost of Capital,practice,WACC,unknown,draft
ccap-ja-0009,ケースと図解で学ぶ企業価値評価,渡辺茂,ja,2003,日本経済新聞社,,Securities & Investment Banking,Cost of Capital,practice,WACC,unknown,draft
ccap-ja-0010,［新版］グロービスMBAファイナンス,グロービス経営大学院,ja,2014,ダイヤモンド社,,Securities & Investment Banking,Cost of Capital,practice,最適資本構成,unknown,draft
ccap-ja-0011,入門　ビジネス・ファイナンス,西山　茂,ja,2008,東洋経済新報社,9784492601723,Securities & Investment Banking,Cost of Capital,practice,最適資本構成,unknown,draft
ccap-ja-0012,ビジネスマンのための　ファイナンス入門,山澤　光太郎,ja,2004,東洋経済新報社,9784492653401,Securities & Investment Banking,Cost of Capital,practice,加重平均資本コスト,unknown,draft
ccap-ja-0013,経営戦略とコーポレートファイナンス,砂川伸幸; 川北英隆; 杉浦秀徳,ja,2013,日経BP,,Securities & Investment Banking,Cost of Capital,practice,加重平均資本コスト,unknown,draft
ccap-ja-0014,ファイナンス硏究,,ja,1994,Unknown,,Securities & Investment Banking,Cost of Capital,practice,加重平均資本コスト,unknown,draft
ccap-ja-0015,現代ファイナンス理論入門,仁科一彦,ja,1997,Unknown,,Securities & Investment Banking,Cost of Capital,practice,加重平均資本コスト,unknown,draft
ccap-ja-0016,実務で役立つ「企業価値評価」がわかる本,小島公彦,ja,2024,同文舘出版,,Securities & Investment Banking,Cost of Capital,practice,企業価値 評価,unknown,draft
ccap-ja-0017,バリュー株で勝つための〈図解〉「決算書&企業価値」分析ドリル,角山智,ja,2007,秀和システム,4798015733,Securities & Investment Banking,Cost of Capital,practice,企業価値 評価,unknown,draft
ccap-ja-0018,企業価値経営　第2版,伊藤邦雄,ja,2023,日経BP,,Securities & Investment Banking,Cost of Capital,practice,企業価値 評価,unknown,draft
ccap-ja-0019,企業価値を高める投資・財務戦略,高橋文郎,ja,2000,Unknown,4492600825,Securities & Investment Banking,Cost of Capital,practice,企業価値 評価,unknown,draft
ccap-ja-0020,企業価値評価 第7版［上］,ﾏｯｷﾝｾﾞｰ･ｱﾝﾄﾞ･ｶﾝﾊﾟﾆｰ; ﾃｨﾑ･ｺﾗｰ; ﾏｰｸ･ﾌｰｶｰﾄ,ja,2022,ダイヤモンド社,,Securities & Investment Banking,Cost of Capital,practice,企業価値 評価,unknown,draft
ccap-ja-0021,企業価値評価,,ja,2016,Unknown,,Securities & Investment Banking,Cost of Capital,practice,企業価値 評価,unknown,draft
ccap-ja-0022,企業価値評価【入門編】,鈴木一功,ja,2018,ダイヤモンド社,,Securities & Investment Banking,Cost of Capital,practice,企業価値 評価,unknown,draft
ccap-ja-0023,図解入門ビジネス最新企業価値評価の基本と仕組みがよーくわかる本,バリュークリエイト,ja,2005,秀和システム,479801107X,Securities & Investment Banking,Cost of Capital,practice,企業価値 評価,unknown,draft
ccap-ja-0024,企業価値評価第7版[下],マッキンゼー・アンド・カンパニー; ティム・コラー; マーク・フーカート,ja,2022,Unknown,4478112886,Securities & Investment Banking,Cost of Capital,practice,企業価値 評価,unknown,draft
ccap-ja-0025,図解入門ビジネス最新コーポレートファイナンスの理論と仕組みがよーくわかる本,岸本義之; 松田千恵子,ja,2011,秀和システム,4798030392,Securities & Investment Banking,Cost of Capital,practice,コーポレートファイナンス,unknown,draft
ecm-en-0001,The Euromoney guide to international equity capital markets,,en,1998,Unknown,,Securities & Investment Banking,ECM/DCM,practice,equity capital markets,unknown,draft
ecm-en-0002,Handbook of Corporate Equity Derivatives and Equity Capital Markets,Juan Ramirez,en,2011,Unknown,,Securities & Investment Banking,ECM/DCM,practice,equity capital markets,unknown,draft
ecm-en-0003,EUROMONEY INTERNATIONAL EQUITY CAPITAL MARKETS HANDBOOK 2006,,en,2005,Unknown,,Securities & Investment Banking,ECM/DCM,practice,equity capital markets,unknown,draft
ecm-en-0004,The Development of Equity Capital Markets in Transition Economies,Dirk Willer,en,1999,Unknown,,Securities & Investment Banking,ECM/DCM,practice,equity capital markets,unknown,draft
ecm-en-0005,Global Offerings of Securities:Access to World Equity Capital Markets,Meredith Brown,en,1994,Unknown,,Securities & Investment Banking,ECM/DCM,practice,equity capital markets,unknown,draft
